course_name,course_code,course_desc,course_level,course_image
MTH GCSE Maths Foundation,MTH-GF,MTH GCSE Maths Foundation Online Course,Foundation,/course/mth_gcse_foundation.png
MTH GCSE Maths Higher,MTH-GH,MTH GCSE Maths Higher Online Course ,Higher,/course/mth_gcse_higher.png
MTH Functional Skills- E3,MTH-FSE3,MTH Functional Skills Entry 3 Online Course,Entry 3,/course/functionalskill_entrylevel3.png
MTH Functional Skills- L1,MTH-FSL1,MTH Functional Skills L1 Online Course,Level 1,/course/mth_functionalskill_level1.png
MTH Functional Skills- L2,MTH-FSL2,MTH Functional Skills L2 Online Course,Level 2,/course/mth_functionalskill_level2.png
