quiz_name,quiz_code,quiz_desc,quiz_type,quiz_subtyp,Topic_id,course_code,lesson_code
Algebra Introduction ,GFA1LQ1,Algebra Introduction Lesson Quiz,Lesson , summary,,,GFA1LC1
Simplifying Expressions,GFA1LQ2,Simplifying Expressions Lesson Quiz,Lesson , summary,,,GFA1LC2
Expanding Brackets,GFA1LQ3,Expanding Brackets Lesson Quiz,Lesson , summary,,,GFA1LC3
Factorising Expressions,GFA1LQ4,Factorising Expressions Lesson Quiz,Lesson , summary,,,GFA1LC4
Solving Linear Equations ,GFA1LQ5,Solving Linear Equations Lesson Quiz,Lesson , summary,,,GFA1LC5
Forming Equations ,GFA1LQ6,Forming Equations Lesson Quiz,Lesson , summary,,,GFA1LC6
Formulae and Substitution ,GFA1LQ7,Formulae and Substitution Lesson Quiz,Lesson , summary,,,GFA1LC7
Inequalities,GFA1LQ8,Inequalities Lesson Quiz,Lesson , summary,,,GFA1LC8
