quiz_name,quiz_code,quiz_desc,quiz_type,quiz_subtyp,Topic_id,course_code,lesson_code
Basic Graphs ,GFP1LQ1,Basic Graphs Lesson Quiz,Lesson , summary,,,GFS1LC1
Pie Charts,GFS1LQ2,Pie Charts Lesson Quiz,Lesson , summary,,,GFS1LC2
Scatter Graphs,GFS1LQ3,Scatter Graphs Lesson Quiz,Lesson , summary,,,GFS1LC3
Averages and Range ,GFS1LQ4,Averages and Range Lesson Quiz,Lesson , summary,,,GFS1LC4
Averages from tables,GFS1LQ5,Averages from tables Lesson Quiz,Lesson , summary,,,GFS1LC5
Stem-and-leaf diagrams,GFS1LQ6,Stem-and-leaf diagrams Lesson Quiz,Lesson , summary,,,GFS1LC6
Frequency Polygon,GFS1LQ7,Frequency Polygon Lesson Quiz,Lesson , summary,,,GFS1LC7
