quiz_name,quiz_code,quiz_desc,quiz_type,quiz_subtyp,Topic_id,course_code,lesson_code
Sequences ,GFA2LQ1,Sequences Lesson Quiz,Lesson , summary,,,GFA2LC1
Straight-line graphs ,GFA2LQ2,Straight-line graphs Lesson Quiz,Lesson , summary,,,GFA2LC2
Simultaneous Equations,GFA2LQ3,Simultaneous Equations Lesson Quiz,Lesson , summary,,,GFA2LC3
Graphs of Quadratics,GFA2LQ4,Graphs of Quadratics Lesson Quiz,Lesson , summary,,,GFA2LC4
Solving Quadratic Equations,GFA2LQ5,Solving Quadratic Equations Lesson Quiz,Lesson , summary,,,GFA2LC5
Real-life Graphs,GFA2LQ6,Real-life Graphs Lesson Quiz,Lesson , summary,,,GFA2LC7
Cubic and Reciprocal Graphs,GFA2LQ7,Cubic and Reciprocal Graphs Lesson Quiz,Lesson , summary,,,GFA2LC7
